product_id,quantity,year,transaction
115044,23,2020,sale
309918,25,2019,sale
486768,24,2020,sale
690030,4,2019,purchase
655563,20,2020,purchase
638507,6,2020,purchase
855600,18,2020,purchase
506560,29,2020,purchase
807147,20,2019,purchase
233224,16,2020,sale
490356,21,2020,sale
143637,10,2020,sale
178469,23,2020,sale
319054,15,2020,sale
528702,20,2020,purchase
305924,15,2020,sale
670633,26,2019,purchase
127997,21,2019,sale
991554,23,2019,purchase
705198,18,2020,purchase
868581,5,2020,purchase
361663,5,2020,sale
498897,7,2020,sale
726172,5,2019,purchase
883870,11,2019,purchase
287804,16,2019,sale
118435,16,2020,sale
566262,23,2019,purchase
868346,14,2019,purchase
587097,17,2020,purchase
577706,8,2020,purchase
774380,19,2020,purchase
193799,28,2019,sale
806428,4,2020,purchase
902720,15,2020,purchase
234287,3,2020,sale
288097,22,2020,sale
769628,25,2019,purchase
232062,3,2020,sale
241531,25,2019,sale
272702,21,2019,sale
375594,23,2020,sale
351240,11,2020,sale
332849,20,2020,sale
312782,5,2020,sale
918133,26,2020,purchase
243666,4,2020,sale
963546,19,2019,purchase
211045,26,2020,sale
169689,11,2019,sale
580898,3,2020,purchase
428267,4,2020,sale
400897,1,2020,sale
980184,28,2020,purchase
117055,27,2019,sale
476199,12,2019,sale
710563,6,2020,purchase
291210,22,2020,sale
111808,29,2020,sale
252705,20,2019,sale
507572,23,2019,purchase
404954,5,2019,sale
242676,25,2019,sale
412933,3,2020,sale
447198,6,2019,sale
198363,16,2019,sale
217669,24,2020,sale
396599,2,2020,sale
185043,6,2019,sale
195697,19,2020,sale
951989,22,2020,purchase
118845,15,2019,sale
272544,2,2019,sale
661620,20,2020,purchase
432548,25,2019,sale
859691,28,2019,purchase
160450,16,2019,sale
176137,19,2020,sale
528313,14,2020,purchase
207291,2,2019,sale
187771,19,2020,sale
920899,6,2020,purchase
335524,29,2019,sale
248187,18,2020,sale
543100,30,2020,purchase
148145,7,2019,sale
623136,13,2020,purchase
551513,17,2020,purchase
293314,6,2020,sale
219498,17,2019,sale
943080,21,2019,purchase
714182,9,2020,purchase
352734,15,2020,sale
482520,12,2020,sale
299946,5,2019,sale
661403,25,2020,purchase
997080,22,2020,purchase
646329,27,2020,purchase
430449,11,2019,sale
492075,18,2019,sale
731706,13,2020,purchase
191192,17,2019,sale
115877,17,2020,sale
587097,5,2019,purchase
284311,20,2020,sale
930671,9,2019,purchase
428024,5,2019,sale
149970,13,2020,sale
950965,17,2020,purchase
190970,30,2020,sale
672491,30,2019,purchase
866332,9,2019,purchase
839590,29,2019,purchase
684340,14,2020,purchase
162861,29,2019,sale
364295,29,2020,sale
137938,18,2020,sale
456788,28,2019,sale
945673,25,2020,purchase
214373,18,2019,sale
449212,24,2019,sale
650190,17,2019,purchase
217669,7,2019,sale
852208,27,2020,purchase
268170,2,2019,sale
909921,4,2020,purchase
441229,1,2020,sale
182089,19,2020,sale
661403,15,2019,purchase
115621,28,2020,sale
313354,11,2019,sale
134664,10,2020,sale
445488,18,2019,sale
333378,28,2020,sale
972401,22,2019,purchase
279421,29,2019,sale
223752,26,2019,sale
469867,9,2020,sale
706769,30,2020,purchase
826445,12,2019,purchase
216973,4,2020,sale
269122,26,2020,sale
138448,12,2019,sale
530897,2,2020,purchase
390632,12,2019,sale
268170,16,2020,sale
171034,24,2020,sale
266803,13,2019,sale
410231,10,2020,sale
852212,1,2019,purchase
455487,7,2019,sale
759189,11,2020,purchase
127236,7,2019,sale
101075,25,2019,sale
642834,6,2019,purchase
694265,17,2019,purchase
344132,12,2020,sale
185221,30,2019,sale
731795,13,2019,purchase
513613,12,2019,purchase
398124,13,2020,sale
425653,9,2020,sale
106400,3,2020,sale
354054,5,2019,sale
475066,27,2020,sale
275567,23,2020,sale
677904,7,2019,purchase
443499,13,2019,sale
646329,14,2019,purchase
861469,14,2019,purchase
493817,19,2020,sale
324973,30,2020,sale
876446,20,2020,purchase
714714,25,2019,purchase
470665,3,2019,sale
218056,29,2019,sale
234810,13,2019,sale
233587,15,2019,sale
741344,23,2020,purchase
273543,23,2019,sale
109674,21,2020,sale
263835,23,2020,sale
176136,18,2020,sale
491445,11,2020,sale
